Host Id;Host Since;mes;aniomes;anio;Name;Neighbourhood;Property Type;Review Scores Rating (bin);Room Type;Zipcode;Beds;Number of Records;Number Of Reviews;Price;Review Scores Rating;AA;AB;AC;AD;AE;AF;AG;cant
10952361;01/01/2014;1;201401;2014;Studio in Greenwich Village;Manhattan;Apartment;95;Entire home/apt;10012;1;1;16;115;95;;;;;;;;1
10953969;01/01/2014;1;201401;2014;Immaculate Studio- Amazing View;Manhattan;Apartment;90;Entire home/apt;10021;1;1;30;200;94;;;;;;;;1
10952317;01/01/2014;1;201401;2014;Upper East Side Studio;Manhattan;Apartment;100;Entire home/apt;10028;1;1;1;100;100;;;;;;;;1
10938586;01/01/2014;1;201401;2014;"Brooklyn ""Treehouse"", Crown Heights";Brooklyn;Apartment;;Private room;11216;1;1;0;65;;;;;;;;;1
10942358;01/01/2014;1;201401;2014;Beautiful Brownstone in Brooklyn;Brooklyn;Apartment;100;Private room;11216;1;1;2;95;100;;;;;;;;1
10950140;01/01/2014;1;201401;2014;Large Bedroom / Private Bathroom;Brooklyn;Apartment;95;Private room;11238;1;1;5;75;96;;;;;;;;1
10949644;01/01/2014;1;201401;2014;Bright;Lovely Private RM Midtown NY;Manhattan;Apartment;95;Private room;10022;1;1;34;125;95;;;;;;;1
10953317;01/01/2014;1;201401;2014;bright cozy room near columbia univ;Manhattan;Apartment;85;Private room;10027;1;1;30;70;89;;;;;;;;1
10973049;02/01/2014;1;201401;2014;Cozy One Bedroom Apartment;Brooklyn;Apartment;100;Entire home/apt;11201;1;1;1;100;100;;;;;;;;1
10971751;02/01/2014;1;201401;2014;1 BR apt in Atlantic Avenue;Brooklyn;Apartment;100;Entire home/apt;11217;1;1;1;119;100;;;;;;;;1
10975987;02/01/2014;1;201401;2014;Restored 1910 Brooklyn Loft Studio;Brooklyn;House;90;Entire home/apt;11207;1;1;18;128;94;;;;;;;;1
10973455;02/01/2014;1;201401;2014;Super Cute Chelsea One Bedroom;Manhattan;Apartment;85;Entire home/apt;10001;1;1;12;180;87;;;;;;;;1
10967533;02/01/2014;1;201401;2014;LES 3BR Duplex w/ Private Backyard;Manhattan;Apartment;;Entire home/apt;10002;3;1;0;4.000;;;;;;;;;1
10963050;02/01/2014;1;201401;2014;3BR Luxury Apartment in SoHo;Manhattan;Apartment;;Entire home/apt;10012;3;1;0;999;;;;;;;;;1
10962595;02/01/2014;1;201401;2014;Beautiful  Manhattan Studio!;Manhattan;Apartment;90;Entire home/apt;10019;2;1;58;190;90;;;;;;;;1
10962595;02/01/2014;1;201401;2014;Luxury Manhattan Studio!;Manhattan;Apartment;90;Entire home/apt;10019;1;1;56;250;91;;;;;;;;1
10976239;02/01/2014;1;201401;2014;Large one bedroom In HELLS Kitchen;Manhattan;Apartment;100;Entire home/apt;10019;2;1;5;190;100;;;;;;;;1
10968147;02/01/2014;1;201401;2014;Historical Brownstone in Harlem;Manhattan;Apartment;90;Entire home/apt;10027;1;1;4;225;93;;;;;;;;1
10974421;02/01/2014;1;201401;2014;large 2bdrm apt - midtown manhattan;Manhattan;Apartment;90;Entire home/apt;10036;2;1;2;175;90;;;;;;;;1
10976977;02/01/2014;1;201401;2014;Charming 1BR/ Heart of Meat Packing;Manhattan;Apartment;80;Entire home/apt;10065;2;1;11;299;84;;;;;;;;1
10964020;02/01/2014;1;201401;2014;Nice Astoria Apt for Super Bowl;Queens;Apartment;;Entire home/apt;11103;1;1;0;300;;;;;;;;;1
10963564;02/01/2014;1;201401;2014;INTERESTING NYC BUDGET CLEAN  SAFE;Brooklyn;Apartment;85;Private room;11206;1;1;2;72;89;;;;;;;;1
10963564;02/01/2014;1;201401;2014;INTERESTING NYC BUDGET CLEAN  SAFE;Brooklyn;Apartment;95;Private room;11206;1;1;2;72;96;;;;;;;;1
